"GCM","bio_11 (ºC)","bio_14 (mm)","Delta bio_11 (ºC)","Delta bio_14 (mm)"
"giss_e2_h",4.96106042348081,29.027027027027,1.02836977104493,-8.15062833534171
"giss_e2_r",4.6411774832157,30.5708383542778,0.708486830779824,-6.60681700809089
"mpi_esm_mr",5.2316577724221,30.719573076261,1.29896711998623,-6.45808228610776
"bnu_esm",5.4760371836805,31.5179893269065,1.54334653124462,-5.65966603546221
"mri_cgcm3",4.91239456016526,31.7951454639353,0.979703907729385,-5.38250989843347
"mohc_hadgem2_es",5.51227405749699,31.8068514374247,1.57958340506111,-5.37080392494405
"miroc_esm_chem",5.98684799449131,31.9674642795662,2.05415734205543,-5.21019108280255
"cesm1_cam5",5.5303322430711,32.3785505250473,1.59764159063522,-4.7991048373214
"nimr_hadgem2_ao",5.64763298330177,32.8676192115683,1.7149423308659,-4.31003615080048
"mpi_esm_lr",5.33241521776554,32.9669478395593,1.39972456532966,-4.21070752280943
"miroc_miroc5",5.32329144431055,33.0354622138062,1.39060079187468,-4.14219314856258
"gfdl_cm3",5.80030986400413,33.1050094680668,1.86761921156826,-4.07264589430195
"ENSEMBLE",5.36559545532794,33.2106111206748,1.43290480289206,-3.96704424169392
"miroc_esm",5.94246858323291,33.1881563091754,2.00977793079704,-3.98949905319332
"fio_esm",5.08173523842314,33.68325012911,1.14904458598726,-3.49440523325874
"gfdl_esm2m",4.94031674987089,33.7200895162679,1.00762609743501,-3.45756584610088
"bcc_csm1_1_m",5.03544499913927,34.1194697882596,1.10275434670339,-3.05818557410914
"lasg_fgoals_g2",4.96717163022895,34.5081769667757,1.03448097779308,-2.66947839559305
"ipsl_cm5a_lr",5.44866586331554,34.5002582200034,1.51597521087967,-2.6773971423653
"ipsl_cm5a_mr",5.531674987089,34.5400241005337,1.59898433465312,-2.63763126183508
"cccma_canesm2",6.04587708727836,34.5734205543123,2.11318643484249,-2.60423480805646
"bcc_csm1_1",5.68292305043897,34.6393527285247,1.7502323980031,-2.53830263384404
"csiro_mk3_6_0",5.30414873472198,34.6996040626614,1.37145808228611,-2.47805129970735
"ncc_noresm1_m",5.09345842657945,34.8877603718368,1.16076777414357,-2.28989499053193
"gfdl_esm2g",5.39426751592357,35.5894301945257,1.46157686348769,-1.588225167843
"ncar_ccsm4",5.3163022895507,35.8578068514374,1.38361163711482,-1.31984851093131
"BASELINE",3.93269065243588,37.1776553623687,0,0
