"GCM","bio_11 (ºC)","bio_14 (mm)","Delta bio_11 (ºC)","Delta bio_14 (mm)"
"giss_e2_r_cc",5.10752280943364,27.6441728352556,1.17483215699776,-9.5334825271131
"bnu_esm",5.89567911860905,29.4603201928043,1.96298846617318,-7.71733516956447
"mri_cgcm3",5.03048717507316,29.7185401962472,1.09779652263729,-7.45911516612154
"giss_e2_r",5.02573592700981,29.8485109313135,1.09304527457394,-7.32914443105526
"csiro_access1_0",5.71427095885695,30.1304871750732,1.78158030642107,-7.04716818729558
"mpi_esm_lr",5.35918402478912,30.3337923911172,1.42649337235324,-6.84386297125151
"nimr_hadgem2_ao",6.29886383198485,30.1611292821484,2.36617317954898,-7.01652608022035
"gfdl_cm3",6.23893957651919,31.3103804441384,2.30624892408332,-5.86727491823033
"mohc_hadgem2_es",5.98497159579962,31.4439662592529,2.05228094336375,-5.73368910311585
"bcc_csm1_1_m",5.34429333792391,31.6248924083319,1.41160268548804,-5.55276295403684
"cesm1_cam5",6.21852298158031,31.7064899294199,2.28583232914443,-5.47116543294887
"ENSEMBLE",5.70406380903196,32.092431284788,1.77137315659609,-5.08522407758077
"ipsl_cm5a_mr",6.4873300051644,32.0795317610604,2.55463935272852,-5.09812360130831
"miroc_esm",6.23967980719573,32.4651402995352,2.30698915475986,-4.71251506283353
"csiro_mk3_6_0",5.02107075228094,32.7948011705973,1.08838009984507,-4.38285419177139
"miroc_miroc5",5.59767601996901,32.7199173695989,1.66498536753314,-4.45773799276984
"cesm1_bgc",5.90197968669306,32.7703563436048,1.96928903425719,-4.40729901876399
"ipsl_cm5a_lr",6.12327422964366,32.7435014632467,2.19058357720778,-4.43415389912205
"csiro_access1_3",5.64393182991909,32.8457565846101,1.71124117748322,-4.33189877775865
"mohc_hadgem2_cc",5.929850232398,32.800826304011,1.99715957996213,-4.37682905835772
"cccma_canesm2",6.47008090893441,32.7977276639697,2.53739025649854,-4.37992769839904
"gfdl_esm2m",5.14103976588053,33.0929592012395,1.20834911344465,-4.08469616112928
"ncar_ccsm4",5.66829058357721,33.0506111206748,1.73559993114133,-4.12704424169392
"giss_e2_h_cc",5.22120846961611,33.1886727491823,1.28851781718024,-3.98898261318643
"ncc_noresm1_m",5.52019280426924,33.4281287657084,1.58750215183336,-3.74952659666035
"inm_cm4",5.26756756756757,33.488552246514,1.33487691513169,-3.68910311585471
"lasg_fgoals_g2",5.26662076088828,33.5713547942847,1.3339301084524,-3.60630056808401
"fio_esm",4.89523153726975,33.9664313995524,0.962540884833878,-3.21122396281632
"gfdl_esm2g",6.03670166982269,33.8120158374935,2.10401101738681,-3.36563952487519
"bcc_csm1_1",6.26899638491995,33.819073850921,2.33630573248408,-3.35858151144775
"miroc_esm_chem",6.2027199173696,33.954897572732,2.27002926493372,-3.22275778963677
"BASELINE",3.93269065243588,37.1776553623687,0,0
