"GCM","bio_11 (ºC)","bio_14 (mm)","Delta bio_11 (ºC)","Delta bio_14 (mm)"
"giss_e2_h",5.68979170253056,26.8307798244104,1.75710105009468,-10.3468755379583
"csiro_access1_0",6.34124634188328,27.4437941125839,2.40855568944741,-9.73386124978482
"ec_earth",6.40650714408676,27.746772249957,2.47381649165089,-9.43088311241178
"gfdl_cm3",6.63628851781718,29.1156825615424,2.7035978653813,-8.0619728008263
"cesm1_cam5",6.81022551213634,29.1743845756585,2.87753485970046,-8.00327078671028
"mohc_hadgem2_es",6.74742640729902,29.2103632294715,2.81473575486314,-7.96729213289723
"nimr_hadgem2_ao",6.91633671888449,29.1831640557755,2.98364606644861,-7.99449130659322
"mri_cgcm3",5.44876915131692,29.9939748665863,1.51607849888105,-7.18368049578241
"gfdl_esm2m",5.63716646582889,30.1726631089688,1.70447581339301,-7.0049922533999
"ipsl_cm5a_mr",7.01082802547771,29.8998106386641,3.07813737304183,-7.2778447237046
"ipsl_cm5b_lr",5.70755723876743,30.2874849371665,1.77486658633155,-6.89017042520227
"bcc_csm1_1_m",6.13558271647444,30.2280943363746,2.20289206403856,-6.94956102599415
"bnu_esm",6.85902909278705,30.2187984162506,2.92633844035118,-6.95885694611809
"inm_cm4",5.51761060423481,30.7750043036667,1.58491995179893,-6.40265105870201
"mpi_esm_mr",6.61866069891548,30.5617145808229,2.6859700464796,-6.61594078154588
"ncc_noresm1_m",5.53893957651919,30.9087622654502,1.60624892408332,-6.26889309691857
"miroc_esm",6.86718884489585,30.8674470648993,2.93449819245998,-6.31020829746944
"ENSEMBLE",6.30460492339473,30.9905319332071,2.37191427095886,-6.18712342916165
"miroc_miroc5",5.99035978653813,31.0557755207437,2.05766913410226,-6.12187984162506
"giss_e2_r",5.57505594766741,31.4455155792735,1.64236529523154,-5.7321397830952
"miroc_esm_chem",6.88473059046307,31.4277844723705,2.9520399380272,-5.74987088999828
"cccma_canesm2",7.11471854019625,31.5119641934929,3.18202788776037,-5.66569116887588
"csiro_access1_3",6.04642795661904,32.126699948356,2.11373730418316,-5.05095541401274
"mpi_esm_lr",6.49757273196764,32.2206920296092,2.56488207953176,-4.95696333275951
"ipsl_cm5a_lr",6.63432604579101,32.2139783095197,2.70163539335514,-4.96367705284903
"csiro_mk3_6_0",6.16455500086073,32.5179893269065,2.23186434842486,-4.65966603546221
"gfdl_esm2g",6.2239800309864,32.7944568772594,2.29128937855053,-4.38319848510931
"cesm1_bgc",6.68667584782234,32.8473059046307,2.75398519538647,-4.33034945773799
"mohc_hadgem2_cc",6.68786365983818,32.9946634532622,2.75517300740231,-4.18299190910656
"ncar_ccsm4",6.06782578757101,33.3740747116543,2.13513513513514,-3.80358065071441
"lasg_fgoals_g2",5.66421070752281,33.9688414529179,1.73152005508693,-3.20881390945085
"bcc_csm1_1",6.70025822000344,34.0802203477363,2.76756756756757,-3.09743501463247
"fio_esm",5.91964193492856,34.4983646066449,1.98695128249268,-2.67929075572388
"BASELINE",3.93269065243588,37.1776553623687,0,0
