"GCM","bio_1 (ºC)","bio_17 (mm)","Delta bio_1 (ºC)","Delta bio_17 (mm)"
"mohc_hadgem2_es",11.1894818385264,116.094336374591,1.76710277156137,-14.7960061972801
"giss_e2_h",10.4588913754519,118.836977104493,1.03651230848683,-12.0533654673782
"giss_e2_r",10.2269409536925,120.397658805302,0.804561886727492,-10.4926837665691
"mpi_esm_mr",10.7869857118265,120.92046823894,1.36460664486142,-9.96987433293166
"miroc_esm_chem",11.4566362540885,120.860389051472,2.03425718712343,-10.0299535203994
"cesm1_cam5",11.0808056464107,120.985367533138,1.65842657944569,-9.904975038733
"gfdl_cm3",11.4892408331899,120.957307626097,2.06686176622482,-9.9330349457738
"mri_cgcm3",10.3099328627991,121.480289206404,0.887553795834051,-9.41005336546738
"mpi_esm_lr",10.8169908762265,121.942675159236,1.39461180926149,-8.94766741263557
"lasg_fgoals_g2",10.4724909622999,123.290927870546,1.05011189533483,-7.59941470132553
"ipsl_cm5a_mr",11.0624892408332,123.536753313823,1.64011017386814,-7.35358925804786
"bcc_csm1_1_m",10.7417111378895,123.744190049923,1.31933207092443,-7.1461525219487
"ENSEMBLE",10.8960220347736,123.751874677225,1.47364296780857,-7.13846789464624
"bnu_esm",11.1688070235841,123.742640729902,1.74642795661904,-7.14770184196936
"nimr_hadgem2_ao",11.0688586675848,124.02978137373,1.64647960061973,-6.86056119814082
"csiro_mk3_6_0",11.0188672749182,124.53227750043,1.59648820795318,-6.35806507144087
"cccma_canesm2",11.7342227577896,124.692546049234,2.31184369082458,-6.19779652263729
"miroc_esm",11.3830263384404,125.126699948356,1.9606472714753,-5.76364262351523
"ipsl_cm5a_lr",11.0246169736616,125.423136512308,1.60223790669651,-5.46720605956275
"gfdl_esm2m",10.4056636254088,125.973145119642,0.983284558443794,-4.9171974522293
"ncc_noresm1_m",10.7612325701498,125.967636426235,1.33885350318471,-4.92270614563608
"miroc_miroc5",10.8199690135996,126.70476846273,1.39758994663453,-4.18557410914099
"bcc_csm1_1",11.0386124978482,127.30177311069,1.61623343088311,-3.58856946118093
"ncar_ccsm4",10.7988638319849,128.243931829919,1.3764847650198,-2.64641074195214
"gfdl_esm2g",10.678275090377,128.879325185058,1.25589602341195,-2.01101738681357
"fio_esm",10.4069375107592,130.131864348425,0.984558443794113,-0.758478223446376
"BASELINE",9.42237906696506,130.890342571871,0,0
