"GCM","bio_1 (ºC)","bio_17 (mm)","Delta bio_1 (ºC)","Delta bio_17 (mm)"
"mohc_hadgem2_es",11.6875882251678,112.87725942503,2.26520915820279,-18.0130831468411
"csiro_access1_0",11.3683766569117,113.323980030986,1.94599758994663,-17.5663625408848
"nimr_hadgem2_ao",11.7715269409537,113.354794284731,2.34914787398864,-17.5355482871406
"mri_cgcm3",10.555224651403,115.71802375624,1.13284558443794,-15.1723188156309
"mohc_hadgem2_cc",11.4739025649854,115.672749182303,2.05152349802031,-15.2175933895679
"giss_e2_r_cc",10.7483904286452,115.841969357893,1.32601136168015,-15.0483732139783
"gfdl_cm3",11.98374935445,116.36822172491,2.56137028748494,-14.5221208469616
"bnu_esm",11.6983990359787,116.731967636426,2.2760199690136,-14.158374935445
"ipsl_cm5a_mr",11.2619728008263,117.386813565158,1.83959373386125,-13.5035290067137
"mpi_esm_lr",10.8216388362885,117.443794112584,1.39925976932346,-13.4465484592873
"bcc_csm1_1_m",11.0461869512825,117.609915648132,1.62380788431744,-13.280426923739
"cesm1_cam5",11.4995352039938,118.069202960923,2.07715613702875,-12.8211396109485
"ipsl_cm5a_lr",11.7890170425202,118.118609054915,2.36663797555517,-12.7717335169564
"csiro_mk3_6_0",10.9660354622138,118.999827853331,1.54365639524875,-11.8905147185402
"ENSEMBLE",11.2270298961382,119.74303666724,1.80465082917312,-11.1473059046307
"cesm1_bgc",11.309622998795,119.814425890859,1.88724393182992,-11.0759166810122
"cccma_canesm2",12.1211568256154,119.92373902565,2.69877775865037,-10.9666035462214
"inm_cm4",10.607798244104,120.159063522121,1.18541917713892,-10.7312790497504
"giss_e2_r",10.6463590979515,120.264589430195,1.2239800309864,-10.6257531416767
"csiro_access1_3",11.3111378894818,120.461180926149,1.88875882251678,-10.4291616457222
"ncar_ccsm4",11.2027715613703,121.009812360131,1.78039249440523,-9.8805302117404
"miroc_esm_chem",11.6543467033913,121.645205715269,2.23196763642624,-9.24513685660182
"miroc_esm",11.7049578240661,121.757101050095,2.28257875710105,-9.13324152177655
"gfdl_esm2m",10.6097262867964,122.515234980203,1.1873472198313,-8.3751075916681
"gfdl_esm2g",11.2326562231021,122.720433809606,1.81027715613703,-8.16990876226545
"miroc_miroc5",11.1316405577552,122.913926665519,1.70926149079015,-7.97641590635221
"ncc_noresm1_m",11.1251161990015,123.025822000344,1.7027371320365,-7.86452057152694
"lasg_fgoals_g2",10.8536581167154,124.876054398347,1.43127904975039,-6.01428817352384
"bcc_csm1_1",11.4846617317955,125.525391633672,2.06228266483044,-5.36495093819935
"fio_esm",10.4275778963677,126.465312446204,1.00519882940265,-4.42503012566707
"BASELINE",9.42237906696506,130.890342571871,0,0
"giss_e2_h_cc",10.7161645722155,131.696677569289,1.29378550525047,0.8063349974178
