"GCM","bio_1 (ºC)","bio_17 (mm)","Delta bio_1 (ºC)","Delta bio_17 (mm)"
"csiro_access1_0",12.0193837149251,104.226545016354,2.59700464796006,-26.6637975555173
"mohc_hadgem2_es",12.4389051471854,108.711137889482,3.01652608022035,-22.1792046823894
"gfdl_cm3",12.4288345670511,112.435186779136,3.00645550008607,-18.4551557927354
"cesm1_cam5",12.1787915303839,112.73300051644,2.75641246341883,-18.1573420554312
"ipsl_cm5a_mr",12.6181959029093,112.704940609399,3.19581683594422,-18.185401962472
"nimr_hadgem2_ao",12.4110001721467,113.294542950594,2.98862110518161,-17.5957996212773
"ec_earth",11.774625580995,114.583577207781,2.35224651402995,-16.3067653640902
"giss_e2_h",11.2422275778964,114.697538302634,1.81984851093131,-16.1928042692374
"bcc_csm1_1_m",11.7754690996729,114.679118609055,2.35309003270787,-16.2112239628163
"mri_cgcm3",10.9870201411603,115.21225684283,1.56464107419521,-15.6780857290411
"miroc_esm_chem",12.3504734033396,115.751764503357,2.92809433637459,-15.1385780685144
"cccma_canesm2",12.9167326562231,115.980203133069,3.49435358925805,-14.9101394388019
"mpi_esm_mr",11.9843002237907,116.322086417628,2.56192115682562,-14.5682561542434
"inm_cm4",11.094198657256,116.594766741264,1.67181959029093,-14.2955758306077
"ENSEMBLE",11.9212886254088,117.114450636943,2.49890955844379,-13.7758919349286
"bnu_esm",12.557376484765,117.074023067654,3.13499741779997,-13.8163195042176
"gfdl_esm2m",11.2403856085385,117.23050438974,1.81800654157342,-13.6598381821312
"ncc_noresm1_m",11.4880874505078,117.784988810467,2.06570838354278,-13.1053537614047
"cesm1_bgc",11.9404200378723,117.992253399897,2.51804097090721,-12.8980891719745
"mpi_esm_lr",11.850903770012,118.219142709589,2.428524703047,-12.6711998622827
"mohc_hadgem2_cc",12.3561370287485,118.523325873644,2.93375796178344,-12.3670166982269
"csiro_mk3_6_0",12.0096746427957,118.605439834739,2.58729557583061,-12.284902737132
"ipsl_cm5a_lr",12.5242898949905,118.917369598898,3.10191082802548,-11.972972972973
"miroc_miroc5",11.6049406093992,119.03976588053,2.18256154243415,-11.850576691341
"ipsl_cm5b_lr",11.9692201755896,119.897744878637,2.54684110862455,-10.9925976932346
"miroc_esm",12.2823205370976,119.901015665347,2.85994147013255,-10.9893269065244
"csiro_access1_3",11.9044069547254,120.355999311413,2.48202788776037,-10.5343432604579
"ncar_ccsm4",11.8455844379411,120.523842313651,2.42320537097607,-10.36650025822
"gfdl_esm2g",11.6584954381133,121.55396798072,2.23611637114822,-9.33637459115166
"lasg_fgoals_g2",11.3886383198485,122.398175245309,1.96625925288346,-8.49216732656223
"bcc_csm1_1",12.114098812188,123.032363573765,2.69171974522293,-7.85797899810639
"giss_e2_r",11.1429850232398,123.763126183508,1.72060595627475,-7.12721638836288
"fio_esm",11.3831124117748,124.922706145636,1.96073334480978,-5.96763642623515
"BASELINE",9.42237906696506,130.890342571871,0,0
