"GCM","x_axis","y_axis","Distance","Within_circle"
"mpi_esm_mr",0.119331571792323,0.12969114244096,0.176237954067981,TRUE
"bcc_csm1_1_m",-0.193317251644143,-0.101777583004352,0.218472506703825,TRUE
"mpi_esm_lr",-0.19844599663366,0.114522536225935,0.229120546620217,TRUE
"csiro_mk3_6_0",0.144756121762496,0.224645337409086,0.267244948328983,TRUE
"csiro_access1_3",-0.122950825794719,0.2626320707708,0.289987086196889,TRUE
"ipsl_cm5b_lr",0.207096390115494,-0.212917424633355,0.297023138006738,TRUE
"bcc_csm1_1",0.191642887615738,0.288375512324896,0.34624764617589,TRUE
"ec_earth",-0.150546201193796,-0.395424863388259,0.423113437838491,TRUE
"cesm1_bgc",0.0620639382991355,0.429049060030761,0.433514738331326,TRUE
"ncar_ccsm4",-0.0476397007155502,0.445288770245535,0.447829911898533,TRUE
"gfdl_esm2g",-0.468259437228045,0.143400218241125,0.489724946418628,TRUE
"cesm1_cam5",0.490347668587769,0.0565479754369712,0.493597517837642,TRUE
"miroc_esm",0.489917334803504,-0.290238744053095,0.569436145226562,TRUE
"csiro_access1_0",0.0925535080488857,-0.577999651012185,0.58536292026602,TRUE
"miroc_miroc5",-0.608008010879655,0.0392225818875007,0.609271821294697,TRUE
"miroc_esm_chem",0.594334575685,-0.180561287235029,0.621156957863823,TRUE
"nimr_hadgem2_ao",0.660318015773251,-0.149838808801973,0.677105272891829,TRUE
"mohc_hadgem2_cc",0.633126590751889,0.251501874767563,0.681250668204229,TRUE
"ncc_noresm1_m",-0.742547812925264,0.0920703597505589,0.748234058049144,TRUE
"mohc_hadgem2_es",0.787863771479634,-0.066694806653383,0.790681680352242,TRUE
"fio_esm",-0.666279365325282,0.490167889707718,0.827159448207404,TRUE
"lasg_fgoals_g2",-0.9079166516647,0.319621829867032,0.962533511363418,TRUE
"ipsl_cm5a_lr",0.966020731047108,0.162554614609172,0.979601988331754,TRUE
"gfdl_cm3",0.843655106059942,-0.498169339060377,0.97975845409002,TRUE
"bnu_esm",1.03656628346238,0.0922200978493452,1.04066046646269,TRUE
"giss_e2_h",-0.968618826488777,-0.564252439704283,1.12098316077483,TRUE
"gfdl_esm2m",-1.10366087613969,-0.407076786088676,1.17634129371272,TRUE
"ipsl_cm5a_mr",1.17701227662758,-0.100036991417062,1.18125581437038,TRUE
"giss_e2_r",-1.18729409650862,0.234676325924709,1.21026453701401,TRUE
"inm_cm4",-1.3017271902884,-0.346941143821428,1.34716807979267,TRUE
"mri_cgcm3",-1.56249477899349,-0.183652363450624,1.5732508143913,FALSE
"cccma_canesm2",1.73310025051166,0.299394034834415,1.75877038479104,FALSE
