"GCM","bio_1 (ºC)","bio_14 (mm)","Delta bio_1 (ºC)","Delta bio_14 (mm)"
"giss_e2_r_cc",10.7483904286452,27.6441728352556,1.32601136168015,-9.5334825271131
"mri_cgcm3",10.555224651403,29.7185401962472,1.13284558443794,-7.45911516612154
"giss_e2_r",10.6463590979515,29.8485109313135,1.2239800309864,-7.32914443105526
"bnu_esm",11.6983990359787,29.4603201928043,2.2760199690136,-7.71733516956447
"csiro_access1_0",11.3683766569117,30.1304871750732,1.94599758994663,-7.04716818729558
"mpi_esm_lr",10.8216388362885,30.3337923911172,1.39925976932346,-6.84386297125151
"nimr_hadgem2_ao",11.7715269409537,30.1611292821484,2.34914787398864,-7.01652608022035
"bcc_csm1_1_m",11.0461869512825,31.6248924083319,1.62380788431744,-5.55276295403684
"gfdl_cm3",11.98374935445,31.3103804441384,2.56137028748494,-5.86727491823033
"mohc_hadgem2_es",11.6875882251678,31.4439662592529,2.26520915820279,-5.73368910311585
"cesm1_cam5",11.4995352039938,31.7064899294199,2.07715613702875,-5.47116543294887
"ipsl_cm5a_mr",11.2619728008263,32.0795317610604,1.83959373386125,-5.09812360130831
"ENSEMBLE",11.2270298961382,32.092431284788,1.80465082917312,-5.08522407758077
"miroc_esm",11.7049578240661,32.4651402995352,2.28257875710105,-4.71251506283353
"miroc_miroc5",11.1316405577552,32.7199173695989,1.70926149079015,-4.45773799276984
"csiro_mk3_6_0",10.9660354622138,32.7948011705973,1.54365639524875,-4.38285419177139
"cesm1_bgc",11.309622998795,32.7703563436048,1.88724393182992,-4.40729901876399
"csiro_access1_3",11.3111378894818,32.8457565846101,1.88875882251678,-4.33189877775865
"mohc_hadgem2_cc",11.4739025649854,32.800826304011,2.05152349802031,-4.37682905835772
"gfdl_esm2m",10.6097262867964,33.0929592012395,1.1873472198313,-4.08469616112928
"ipsl_cm5a_lr",11.7890170425202,32.7435014632467,2.36663797555517,-4.43415389912205
"giss_e2_h_cc",10.7161645722155,33.1886727491823,1.29378550525047,-3.98898261318643
"ncar_ccsm4",11.2027715613703,33.0506111206748,1.78039249440523,-4.12704424169392
"cccma_canesm2",12.1211568256154,32.7977276639697,2.69877775865037,-4.37992769839904
"inm_cm4",10.607798244104,33.488552246514,1.18541917713892,-3.68910311585471
"ncc_noresm1_m",11.1251161990015,33.4281287657084,1.7027371320365,-3.74952659666035
"lasg_fgoals_g2",10.8536581167154,33.5713547942847,1.43127904975039,-3.60630056808401
"fio_esm",10.4275778963677,33.9664313995524,1.00519882940265,-3.21122396281632
"gfdl_esm2g",11.2326562231021,33.8120158374935,1.81027715613703,-3.36563952487519
"bcc_csm1_1",11.4846617317955,33.819073850921,2.06228266483044,-3.35858151144775
"miroc_esm_chem",11.6543467033913,33.954897572732,2.23196763642624,-3.22275778963677
"BASELINE",9.42237906696506,37.1776553623687,0,0
