"GCM","bio_1 (ºC)","bio_14 (mm)","Delta bio_1 (ºC)","Delta bio_14 (mm)"
"giss_e2_h",11.2422275778964,26.8307798244104,1.81984851093131,-10.3468755379583
"csiro_access1_0",12.0193837149251,27.4437941125839,2.59700464796006,-9.73386124978482
"ec_earth",11.774625580995,27.746772249957,2.35224651402995,-9.43088311241178
"cesm1_cam5",12.1787915303839,29.1743845756585,2.75641246341883,-8.00327078671028
"gfdl_cm3",12.4288345670511,29.1156825615424,3.00645550008607,-8.0619728008263
"nimr_hadgem2_ao",12.4110001721467,29.1831640557755,2.98862110518161,-7.99449130659322
"mohc_hadgem2_es",12.4389051471854,29.2103632294715,3.01652608022035,-7.96729213289723
"mri_cgcm3",10.9870201411603,29.9939748665863,1.56464107419521,-7.18368049578241
"gfdl_esm2m",11.2403856085385,30.1726631089688,1.81800654157342,-7.0049922533999
"bcc_csm1_1_m",11.7754690996729,30.2280943363746,2.35309003270787,-6.94956102599415
"ipsl_cm5a_mr",12.6181959029093,29.8998106386641,3.19581683594422,-7.2778447237046
"ipsl_cm5b_lr",11.9692201755896,30.2874849371665,2.54684110862455,-6.89017042520227
"inm_cm4",11.094198657256,30.7750043036667,1.67181959029093,-6.40265105870201
"bnu_esm",12.557376484765,30.2187984162506,3.13499741779997,-6.95885694611809
"mpi_esm_mr",11.9843002237907,30.5617145808229,2.56192115682562,-6.61594078154588
"ncc_noresm1_m",11.4880874505078,30.9087622654502,2.06570838354278,-6.26889309691857
"miroc_miroc5",11.6049406093992,31.0557755207437,2.18256154243415,-6.12187984162506
"ENSEMBLE",11.9212886254088,30.9905319332071,2.49890955844379,-6.18712342916165
"miroc_esm",12.2823205370976,30.8674470648993,2.85994147013255,-6.31020829746944
"giss_e2_r",11.1429850232398,31.4455155792735,1.72060595627475,-5.7321397830952
"miroc_esm_chem",12.3504734033396,31.4277844723705,2.92809433637459,-5.74987088999828
"cccma_canesm2",12.9167326562231,31.5119641934929,3.49435358925805,-5.66569116887588
"csiro_access1_3",11.9044069547254,32.126699948356,2.48202788776037,-5.05095541401274
"mpi_esm_lr",11.850903770012,32.2206920296092,2.428524703047,-4.95696333275951
"ipsl_cm5a_lr",12.5242898949905,32.2139783095197,3.10191082802548,-4.96367705284903
"csiro_mk3_6_0",12.0096746427957,32.5179893269065,2.58729557583061,-4.65966603546221
"gfdl_esm2g",11.6584954381133,32.7944568772594,2.23611637114822,-4.38319848510931
"cesm1_bgc",11.9404200378723,32.8473059046307,2.51804097090721,-4.33034945773799
"mohc_hadgem2_cc",12.3561370287485,32.9946634532622,2.93375796178344,-4.18299190910656
"ncar_ccsm4",11.8455844379411,33.3740747116543,2.42320537097607,-3.80358065071441
"lasg_fgoals_g2",11.3886383198485,33.9688414529179,1.96625925288346,-3.20881390945085
"bcc_csm1_1",12.114098812188,34.0802203477363,2.69171974522293,-3.09743501463247
"fio_esm",11.3831124117748,34.4983646066449,1.96073334480978,-2.67929075572388
"BASELINE",9.42237906696506,37.1776553623687,0,0
