"GCM","x_axis","y_axis","Distance","Within_circle"
"ipsl_cm5a_mr",-0.0694029840140264,-0.00540101234600886,0.0696128229883902,TRUE
"gfdl_esm2g",-0.0855471034723968,0.140839218709991,0.164784685087412,TRUE
"ncar_ccsm4",0.0180890927496609,0.168486102415693,0.16945436549035,TRUE
"miroc_miroc5",-0.195446840223084,0.134181295197977,0.237074012355202,TRUE
"bcc_csm1_1_m",-0.289712885821549,-0.09215386943354,0.304016269075561,TRUE
"csiro_access1_3",0.0658438858580118,0.365679764126761,0.371560368172772,TRUE
"ncc_noresm1_m",-0.260288145045474,0.319416251558414,0.412039634271804,TRUE
"mohc_hadgem2_cc",0.431232793397429,0.05415129696253,0.434619471565729,TRUE
"csiro_mk3_6_0",-0.418616722711975,0.139768700811034,0.441333490979915,TRUE
"bcc_csm1_1",0.41322761851223,0.19743102328559,0.457969511711079,TRUE
"cesm1_bgc",0.213679432858865,0.412201654624236,0.464294199944221,TRUE
"csiro_access1_0",0.177377806644383,-0.464107922324495,0.496849121821033,TRUE
"cesm1_cam5",0.563611818559508,0.194342767528001,0.59617731700426,TRUE
"miroc_esm_chem",0.651770235936829,0.111064077816231,0.661165387656008,TRUE
"lasg_fgoals_g2",-0.699137912391361,0.0560156305150308,0.701378336851764,TRUE
"miroc_esm",0.718707138329587,0.0312846906052834,0.719387713651111,TRUE
"giss_e2_h_cc",-0.699398330324689,0.201086689434831,0.727732011889558,TRUE
"mohc_hadgem2_es",0.785345991448229,0.018929231716595,0.785574084410365,TRUE
"bnu_esm",0.845053687657375,-0.298946714416296,0.896373177356187,TRUE
"mpi_esm_lr",-0.928818992888758,-0.142040638085025,0.939617083932858,TRUE
"giss_e2_r_cc",-0.72740675115103,-0.628411153598602,0.961260193489371,TRUE
"nimr_hadgem2_ao",0.917598656984899,-0.296789491617961,0.964402041492726,TRUE
"giss_e2_r",-0.916497399882223,-0.312395035168889,0.968275860480393,TRUE
"ipsl_cm5a_lr",0.986535342930414,0.00729615816382899,0.986562322803167,TRUE
"inm_cm4",-1.03263923663546,-0.0691480198274892,1.03495180645531,TRUE
"gfdl_esm2m",-1.08123348659919,-0.100140184292125,1.08586090686307,TRUE
"mri_cgcm3",-1.20705506648297,-0.351909975894539,1.25730766507498,TRUE
"fio_esm",-1.22940659954599,0.318605993832586,1.27001982910239,TRUE
"gfdl_cm3",1.3937287462823,-0.350031869280523,1.43701152665023,TRUE
"cccma_canesm2",1.65880620904044,0.240695338980881,1.67617787998716,FALSE
