"GCM","bio_1 (ºC)","bio_14 (mm)","Delta bio_1 (ºC)","Delta bio_14 (mm)"
"giss_e2_h",10.4588913754519,29.027027027027,1.03651230848683,-8.15062833534171
"giss_e2_r",10.2269409536925,30.5708383542778,0.804561886727492,-6.60681700809089
"mpi_esm_mr",10.7869857118265,30.719573076261,1.36460664486142,-6.45808228610776
"mri_cgcm3",10.3099328627991,31.7951454639353,0.887553795834051,-5.38250989843347
"bnu_esm",11.1688070235841,31.5179893269065,1.74642795661904,-5.65966603546221
"mohc_hadgem2_es",11.1894818385264,31.8068514374247,1.76710277156137,-5.37080392494405
"miroc_esm_chem",11.4566362540885,31.9674642795662,2.03425718712343,-5.21019108280255
"cesm1_cam5",11.0808056464107,32.3785505250473,1.65842657944569,-4.7991048373214
"nimr_hadgem2_ao",11.0688586675848,32.8676192115683,1.64647960061973,-4.31003615080048
"mpi_esm_lr",10.8169908762265,32.9669478395593,1.39461180926149,-4.21070752280943
"miroc_miroc5",10.8199690135996,33.0354622138062,1.39758994663453,-4.14219314856258
"ENSEMBLE",10.8960220347736,33.2106111206748,1.47364296780857,-3.96704424169392
"gfdl_cm3",11.4892408331899,33.1050094680668,2.06686176622482,-4.07264589430195
"miroc_esm",11.3830263384404,33.1881563091754,1.9606472714753,-3.98949905319332
"fio_esm",10.4069375107592,33.68325012911,0.984558443794113,-3.49440523325874
"gfdl_esm2m",10.4056636254088,33.7200895162679,0.983284558443794,-3.45756584610088
"bcc_csm1_1_m",10.7417111378895,34.1194697882596,1.31933207092443,-3.05818557410914
"lasg_fgoals_g2",10.4724909622999,34.5081769667757,1.05011189533483,-2.66947839559305
"ipsl_cm5a_lr",11.0246169736616,34.5002582200034,1.60223790669651,-2.6773971423653
"ipsl_cm5a_mr",11.0624892408332,34.5400241005337,1.64011017386814,-2.63763126183508
"bcc_csm1_1",11.0386124978482,34.6393527285247,1.61623343088311,-2.53830263384404
"csiro_mk3_6_0",11.0188672749182,34.6996040626614,1.59648820795318,-2.47805129970735
"ncc_noresm1_m",10.7612325701498,34.8877603718368,1.33885350318471,-2.28989499053193
"cccma_canesm2",11.7342227577896,34.5734205543123,2.31184369082458,-2.60423480805646
"gfdl_esm2g",10.678275090377,35.5894301945257,1.25589602341195,-1.588225167843
"ncar_ccsm4",10.7988638319849,35.8578068514374,1.3764847650198,-1.31984851093131
"BASELINE",9.42237906696506,37.1776553623687,0,0
